,Date,NumRides
867,7/23/2016,270
868,7/24/2014,1299
869,7/24/2015,1254
870,7/24/2016,242
871,7/25/2014,1204
872,7/25/2015,364
873,7/25/2016,1200
874,7/26/2014,495
875,7/26/2015,432
876,7/26/2016,1213
877,7/27/2014,446
878,7/27/2015,1363
879,7/27/2016,1219
880,7/28/2014,1293
881,7/28/2015,1451
882,7/28/2016,1166
883,7/29/2014,1368
884,7/29/2015,1411
885,7/29/2016,1102
886,7/3/2014,1026
887,7/3/2015,439
888,7/3/2016,222
889,7/30/2014,1351
890,7/30/2015,1330
891,7/30/2016,356
892,7/31/2014,1260
893,7/31/2015,1240
894,7/31/2016,311
895,7/4/2014,391
896,7/4/2015,449
897,7/4/2016,316
898,7/5/2014,382
899,7/5/2015,288
900,7/5/2016,952
901,7/6/2014,365
902,7/6/2015,1242
903,7/6/2016,1091
904,7/7/2014,1210
905,7/7/2015,1359
906,7/7/2016,1122
907,7/8/2014,1201
908,7/8/2015,1405
909,7/8/2016,995
910,7/9/2014,1347
911,7/9/2015,1257
912,7/9/2016,342
913,8/1/2014,1162
914,8/1/2015,425
915,8/1/2016,1165
916,8/10/2014,436
917,8/10/2015,1284
918,8/10/2016,1162
919,8/11/2014,1234
920,8/11/2015,1397
921,8/11/2016,1166
922,8/12/2014,1380
923,8/12/2015,1400
924,8/12/2016,1032
925,8/13/2014,1247
926,8/13/2015,1401
927,8/13/2016,670
928,8/14/2014,1251
929,8/14/2015,1182
930,8/14/2016,736
931,8/15/2014,1179
932,8/15/2015,451
933,8/15/2016,1204
934,8/16/2014,425
935,8/16/2015,393
936,8/16/2016,1270
937,8/17/2014,402
938,8/17/2015,1418
939,8/17/2016,1253
940,8/18/2014,1277
941,8/18/2015,1407
942,8/18/2016,1264
943,8/19/2014,1279
944,8/19/2015,1353
945,8/19/2016,1074
946,8/2/2014,387
947,8/2/2015,320
948,8/2/2016,1241
949,8/20/2014,1327
950,8/20/2015,1353
951,8/20/2016,313
952,8/21/2014,1352
953,8/21/2015,1215
954,8/21/2016,291
955,8/22/2014,1235
956,8/22/2015,421
957,8/22/2016,1176
958,8/23/2014,485
959,8/23/2015,311
