,Date,NumRides,TotalMinutes
668,5/19/2015,1381,15425
669,5/19/2016,1235,13477
670,5/2/2014,1037,13904
671,5/2/2015,351,42241
672,5/2/2016,1197,11939
673,5/20/2014,1123,12190
674,5/20/2015,1246,24247
675,5/20/2016,1103,12719
676,5/21/2014,1103,12122
677,5/21/2015,1355,17122
678,5/21/2016,309,8500
679,5/22/2014,1216,15265
680,5/22/2015,1129,15092
681,5/22/2016,295,10766
682,5/23/2014,1092,14549
683,5/23/2015,392,16557
684,5/23/2016,1126,13960
685,5/24/2014,432,13361
686,5/24/2015,333,20697
687,5/24/2016,1226,13665
688,5/25/2014,557,33094
689,5/25/2015,324,10742
690,5/25/2016,1240,15279
691,5/26/2014,450,19046
692,5/26/2015,1219,14068
693,5/26/2016,1201,13214
694,5/27/2014,1204,19755
695,5/27/2015,1260,16701
696,5/27/2016,988,14945
697,5/28/2014,1278,19605
698,5/28/2015,1288,20848
699,5/28/2016,380,12266
700,5/29/2014,1209,20071
701,5/29/2015,1203,14380
702,5/29/2016,300,10496
703,5/3/2014,387,11459
704,5/3/2015,346,11869
705,5/3/2016,1242,12256
706,5/30/2014,1074,16086
707,5/30/2015,435,13115
708,5/30/2016,266,7159
709,5/31/2014,449,22157
710,5/31/2015,266,12195
711,5/31/2016,1232,12378
712,5/4/2014,417,14340
713,5/4/2015,1296,14279
714,5/4/2016,1239,14959
715,5/5/2014,1156,17141
716,5/5/2015,1369,15902
717,5/5/2016,1219,15085
718,5/6/2014,1129,14998
719,5/6/2015,1374,17286
720,5/6/2016,925,12687
721,5/7/2014,1173,15938
722,5/7/2015,1360,15737
723,5/7/2016,183,6089
724,5/8/2014,1052,13182
725,5/8/2015,1246,17136
726,5/8/2016,225,6176
727,5/9/2014,1046,18874
728,5/9/2015,368,14333
729,5/9/2016,1212,15272
730,6/1/2014,468,22133
731,6/1/2015,1224,14884
732,6/1/2016,1171,11762
733,6/10/2014,1256,18026
734,6/10/2015,956,10492
735,6/10/2016,1139,15793
736,6/11/2014,1280,16106
737,6/11/2015,1437,18485
738,6/11/2016,321,12350
739,6/12/2014,1175,17084
740,6/12/2015,1276,21243
741,6/12/2016,323,7677
742,6/13/2014,1163,28912
743,6/13/2015,430,18727
744,6/13/2016,1313,15870
745,6/14/2014,440,17467
746,6/14/2015,269,13603
747,6/14/2016,1295,14592
748,6/15/2014,390,15943
749,6/15/2015,1327,14021
750,6/15/2016,1249,15755
751,6/16/2014,1269,18625
752,6/16/2015,1409,15781
753,6/16/2016,1271,13975
754,6/17/2014,1216,20199
755,6/17/2015,1353,17444
756,6/17/2016,1111,16824
757,6/18/2014,1259,19648
758,6/18/2015,1352,23799
759,6/18/2016,337,14611
760,6/19/2014,1237,19747
761,6/19/2015,1243,19959
762,6/19/2016,282,10719
763,6/2/2014,1291,18730
764,6/2/2015,1390,20184
765,6/2/2016,1262,13390
766,6/20/2014,1151,20128
767,6/20/2015,411,34209
768,6/20/2016,1268,13495
769,6/21/2014,361,11543
770,6/21/2015,298,12746
771,6/21/2016,1333,14082
772,6/22/2014,460,22377
773,6/22/2015,1295,14277
774,6/22/2016,1245,13748
775,6/23/2014,1188,19559
776,6/23/2015,1392,17277
777,6/23/2016,1253,15094
778,6/24/2014,1334,17260
779,6/24/2015,1335,16330
780,6/24/2016,1124,20199
781,6/25/2014,1225,17513
782,6/25/2015,1391,23803
783,6/25/2016,375,14236
784,6/26/2014,1294,19202
785,6/26/2015,1319,24185
786,6/26/2016,288,11565
787,6/27/2014,1137,25110
788,6/27/2015,466,14971
789,6/27/2016,1282,16120
790,6/28/2014,495,17203
791,6/28/2015,407,55256
792,6/28/2016,1288,14561
793,6/29/2014,414,18122
794,6/29/2015,1237,17045
795,6/29/2016,1185,13394
796,6/3/2014,1324,20585
797,6/3/2015,1348,18113
798,6/3/2016,1145,14732
799,6/30/2014,1248,17769
800,6/30/2015,1281,13693
801,6/30/2016,1180,15653
802,6/4/2014,1298,24727
803,6/4/2015,1414,19063
804,6/4/2016,353,10540
805,6/5/2014,1219,18844
806,6/5/2015,1270,20101
807,6/5/2016,258,9737
808,6/6/2014,1161,16071
809,6/6/2015,339,16209
810,6/6/2016,1330,12567
811,6/7/2014,437,19212
812,6/7/2015,385,16638
813,6/7/2016,1283,12554
814,6/8/2014,498,16388
815,6/8/2015,1270,14912
816,6/8/2016,1255,15895
817,6/9/2014,1294,14184
818,6/9/2015,1383,17231
819,6/9/2016,1264,13170
820,7/1/2014,1211,19605
821,7/1/2015,1205,23961
822,7/1/2016,968,12144
823,7/10/2014,1224,14622
824,7/10/2015,1244,39121
825,7/10/2016,331,11097
826,7/11/2014,1076,17291
827,7/11/2015,495,24396
828,7/11/2016,1168,15525
829,7/12/2014,445,25608
830,7/12/2015,379,18399
831,7/12/2016,1188,13955
832,7/13/2014,408,23836
833,7/13/2015,1345,16968
834,7/13/2016,1210,13807
835,7/14/2014,1220,14757
836,7/14/2015,1358,14220
837,7/14/2016,1212,13780
838,7/15/2014,1300,27204
839,7/15/2015,1384,17019
840,7/15/2016,1046,14019
841,7/16/2014,1311,16440
842,7/16/2015,1382,17872
843,7/16/2016,271,9599
844,7/17/2014,1299,14958
845,7/17/2015,1249,17902
846,7/17/2016,196,5128
847,7/18/2014,1160,20499
848,7/18/2015,368,11456
849,7/18/2016,1151,14704
850,7/19/2014,424,17644
851,7/19/2015,402,18317
852,7/19/2016,1155,17067
853,7/2/2014,1245,18370
854,7/2/2015,1019,15414
855,7/2/2016,303,10492
856,7/20/2014,402,17986
857,7/20/2015,1386,15016
858,7/20/2016,1247,15032
859,7/21/2014,1224,16071
860,7/21/2015,1349,19182
861,7/21/2016,1196,13432
862,7/22/2014,1326,18361
863,7/22/2015,1307,18457
864,7/22/2016,1023,13450
865,7/23/2014,1366,18458
