,Unnamed: 0,Date,NumRides,TotalMinutes,MinCategorize
364,364,12/8/2014,1363,16940,15000 to 24999
365,365,12/8/2015,1109,12073,10000 to 14999
366,366,12/9/2013,807,7854,7500 to 9999
367,367,12/9/2014,1305,14287,10000 to 14999
368,368,12/9/2015,1028,10152,10000 to 14999
369,369,2/1/2014,383,14243,10000 to 14999
370,370,2/1/2015,251,6072,4000 to 7499
371,371,2/1/2016,1013,11656,10000 to 14999
372,372,2/10/2014,803,9944,7500 to 9999
373,373,2/10/2015,1368,14191,10000 to 14999
374,374,2/10/2016,1167,12413,10000 to 14999
375,375,2/11/2014,939,10595,10000 to 14999
376,376,2/11/2015,1343,13366,10000 to 14999
377,377,2/11/2016,1176,12717,10000 to 14999
378,378,2/12/2014,1015,13901,10000 to 14999
379,379,2/12/2015,1305,12860,10000 to 14999
380,380,2/12/2016,1063,13639,10000 to 14999
381,381,2/13/2014,937,11467,10000 to 14999
382,382,2/13/2015,1295,22668,15000 to 24999
383,383,2/13/2016,353,12218,10000 to 14999
384,384,2/14/2014,958,19899,15000 to 24999
385,385,2/14/2015,563,30390,25000 to 49999
386,386,2/14/2016,341,15495,15000 to 24999
387,387,2/15/2014,415,13900,10000 to 14999
388,388,2/15/2015,375,24062,15000 to 24999
389,389,2/15/2016,463,10399,10000 to 14999
390,390,2/16/2014,415,12780,10000 to 14999
391,391,2/16/2015,543,10611,10000 to 14999
392,392,2/16/2016,1155,11574,10000 to 14999
393,393,2/17/2014,464,12082,10000 to 14999
394,394,2/17/2015,1279,15955,15000 to 24999
395,395,2/17/2016,973,9254,7500 to 9999
396,396,2/18/2014,1013,15367,15000 to 24999
397,397,2/18/2015,1238,17556,15000 to 24999
398,398,2/18/2016,1036,10648,10000 to 14999
399,399,2/19/2014,1012,12875,10000 to 14999
400,400,2/19/2015,1172,14083,10000 to 14999
401,401,2/19/2016,904,8983,7500 to 9999
402,402,2/2/2014,128,3396,2000 to 3999
403,403,2/2/2015,1312,14340,10000 to 14999
404,404,2/2/2016,865,8617,7500 to 9999
405,405,2/20/2014,974,14591,10000 to 14999
406,406,2/20/2015,1101,15672,15000 to 24999
407,407,2/20/2016,307,8701,7500 to 9999
408,408,2/21/2014,937,14832,10000 to 14999
409,409,2/21/2015,333,12329,10000 to 14999
410,410,2/21/2016,235,5522,4000 to 7499
411,411,2/22/2014,466,20897,15000 to 24999
412,412,2/22/2015,289,14698,10000 to 14999
413,413,2/22/2016,1187,17561,15000 to 24999
414,414,2/23/2014,317,12398,10000 to 14999
415,415,2/23/2015,1280,13711,10000 to 14999
416,416,2/23/2016,1182,15578,15000 to 24999
417,417,2/24/2014,1011,18481,15000 to 24999
418,418,2/24/2015,1169,12799,10000 to 14999
419,419,2/24/2016,1163,12343,10000 to 14999
420,420,2/25/2014,1090,16385,15000 to 24999
421,421,2/25/2015,1209,13087,10000 to 14999
422,422,2/25/2016,1176,12425,10000 to 14999
423,423,2/26/2014,392,4100,4000 to 7499
424,424,2/26/2015,1242,20462,15000 to 24999
425,425,2/26/2016,1034,14093,10000 to 14999
426,426,2/27/2014,872,12928,10000 to 14999
427,427,2/27/2015,1092,25634,25000 to 49999
428,428,2/27/2016,337,9827,7500 to 9999
429,429,2/28/2014,538,11067,10000 to 14999
430,430,2/28/2015,330,7089,4000 to 7499
431,431,2/28/2016,242,7052,4000 to 7499
432,432,2/29/2016,1152,13668,10000 to 14999
433,433,2/3/2014,962,11028,10000 to 14999
434,434,2/3/2015,1363,16333,15000 to 24999
435,435,2/3/2016,1042,11647,10000 to 14999
436,436,2/4/2014,994,17951,15000 to 24999
437,437,2/4/2015,1364,13367,10000 to 14999
438,438,2/4/2016,1062,14661,10000 to 14999
439,439,2/5/2014,862,10829,10000 to 14999
440,440,2/5/2015,1272,12272,10000 to 14999
441,441,2/5/2016,948,11890,10000 to 14999
442,442,2/6/2014,486,7460,4000 to 7499
443,443,2/6/2015,608,5362,4000 to 7499
444,444,2/6/2016,410,11701,10000 to 14999
445,445,2/7/2014,466,3991,2000 to 3999
446,446,2/7/2015,318,7116,4000 to 7499
447,447,2/7/2016,270,7342,4000 to 7499
448,448,2/8/2014,94,3323,2000 to 3999
449,449,2/8/2015,141,27123,25000 to 49999
